season,league_match,home,team_1,team_2,outcome,goals_conceded_t1,goals_conceced_t2,goals_scored_t1,goals_scored_t2,home_wins_t1,home_wins_t2,away_wins_t1,away_wins_t2,home_losses_t1,home_losses_t2,away_losses_t1,away_losses_t2,home_draws_t1,home_draws_t2,away_draws_t1,away_draws_t2,rank_position_t1,rank_position_t2,wins_streak_t1,wins_streak_t2,draws_streak_t1,draws_streak_t2,losses_streak_t1,losses_streak_t2
1999,2,team_1,Atlético,UD Salamanca,team_1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,16,0,0,0,1,1,0
1999,2,team_1,Real Valladolid,Real Madrid,team_2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,1,0,13,1,0,1,1,0,0,0
1999,2,team_1,Athletic,Racing,team_1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17,9,0,0,0,1,1,0
1999,2,team_1,Barcelona,CF Extremadura,team_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,15,0,0,1,1,0,0
1999,2,team_1,Deportivo,Valencia,team_1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,8,3,0,1,1,0,0,0
1999,2,team_1,Villarreal,Celta,draw,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,20,10,0,0,0,1,1,0
1999,2,team_1,Tenerife,R. Sociedad,draw,2,3,1,3,0,0,0,0,0,0,1,0,0,1,0,0,19,7,0,0,0,1,1,0
1999,2,team_1,Real Betis,Real Zaragoza,team_2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,11,4,0,1,1,0,0,0
1999,2,team_1,Real Oviedo,Alavés,team_1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,12,14,0,0,1,1,0,0
1999,2,team_1,Mallorca,Espanyol,team_1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,6,2,0,1,1,0,0,0
1999,3,team_1,Real Madrid,Barcelona,draw,1,0,5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,4,2,1,0,0,0,0
1999,3,team_1,Alavés,Real Zaragoza,team_1,1,1,0,5,0,1,0,1,0,0,1,0,1,0,0,0,19,2,0,2,0,0,1,0
1999,3,team_1,UD Salamanca,Deportivo,team_1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,20,3,0,1,0,0,1,0
1999,3,team_1,Real Oviedo,Tenerife,team_2,3,4,4,3,1,0,0,0,0,0,0,1,0,1,1,0,6,18,1,0,0,1,0,0
1999,3,team_1,Racing,Real Betis,team_1,2,3,0,1,0,0,0,0,0,1,1,0,1,0,0,1,14,13,0,0,0,0,1,1
1999,3,team_1,CF Extremadura,Athletic,team_2,1,2,0,2,0,1,0,0,0,0,1,1,1,0,0,0,15,9,0,1,0,0,1,0
1999,3,team_1,Celta,Real Valladolid,draw,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,12,16,0,0,2,0,0,1
1999,3,team_1,Valencia,Villarreal,team_1,1,5,1,2,1,0,0,0,0,0,1,1,0,1,0,0,8,17,0,0,0,1,1,0
1999,3,team_1,R. Sociedad,Mallorca,team_2,5,0,5,2,0,1,0,0,0,0,0,0,1,0,1,1,11,5,0,1,2,0,0,0
1999,3,team_1,Espanyol,Atlético,draw,3,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,7,10,0,1,0,0,1,0
1999,4,team_1,Real Valladolid,Valencia,team_1,1,1,0,2,0,2,0,0,1,0,0,1,0,0,2,0,17,3,0,1,1,0,0,0
1999,4,team_1,Athletic,Real Madrid,team_2,2,3,3,7,1,1,1,1,0,0,1,0,0,1,0,0,4,1,2,0,0,1,0,0
1999,4,team_1,Atlético,R. Sociedad,team_1,2,6,3,5,1,0,0,0,0,1,1,0,0,1,1,1,12,16,0,0,1,0,0,1
1999,4,team_1,Barcelona,Celta,draw,2,1,3,1,1,0,0,0,0,0,0,0,0,2,2,1,6,15,0,0,1,3,0,0
1999,4,team_1,Real Betis,CF Extremadura,draw,4,2,1,0,0,0,0,0,1,1,1,1,0,1,1,0,18,19,0,0,0,0,2,2
1999,4,team_1,Deportivo,Espanyol,team_1,3,4,2,3,1,1,0,0,0,0,1,1,0,1,1,0,9,7,0,0,0,1,1,0
1999,4,team_1,Villarreal,UD Salamanca,team_1,6,3,2,3,0,1,0,0,0,0,2,1,1,1,0,0,20,14,0,1,0,0,1,0
1999,4,team_1,Tenerife,Alavés,team_2,4,1,4,1,0,1,1,0,0,0,1,1,1,1,0,0,13,11,1,1,0,0,0,0
1999,4,team_1,Mallorca,Real Oviedo,draw,0,4,3,4,1,1,1,0,0,1,0,0,0,0,1,1,2,10,2,0,0,0,0,1
1999,4,team_1,Real Zaragoza,Racing,team_1,2,2,5,1,1,1,1,0,0,0,1,1,0,1,0,0,5,8,0,1,0,0,1,0
1999,5,team_1,Valencia,Barcelona,team_2,4,4,3,5,2,1,0,0,0,0,2,0,0,1,0,2,8,7,0,0,0,2,1,0
1999,5,team_1,R. Sociedad,Deportivo,team_1,10,3,6,3,0,2,0,0,1,0,1,1,1,0,1,1,19,6,0,1,0,0,2,0
1999,5,team_1,Alavés,Racing,team_2,2,5,3,2,1,1,1,0,0,0,1,2,1,1,0,0,4,16,2,0,0,0,0,1
1999,5,team_1,CF Extremadura,Real Zaragoza,team_2,3,3,1,8,0,2,0,1,1,0,1,1,1,0,1,0,18,2,0,1,1,0,0,0
1999,5,team_1,Celta,Athletic,team_1,3,5,3,5,0,1,0,1,0,1,0,1,2,0,2,0,12,9,0,0,4,0,0,1
1999,5,team_1,Espanyol,Villarreal,draw,5,6,3,7,1,1,0,0,0,0,2,2,1,1,0,0,13,15,0,1,0,0,1,0
1999,5,team_1,Real Oviedo,Atlético,team_1,4,3,4,7,1,2,0,0,1,0,0,1,0,0,2,1,11,5,0,1,1,0,0,0
1999,5,team_1,UD Salamanca,Real Valladolid,team_1,8,2,3,3,1,1,0,0,0,1,2,0,1,0,0,2,17,10,0,1,0,0,1,0
1999,5,team_1,Tenerife,Mallorca,draw,6,0,5,3,0,1,1,1,1,0,1,0,1,1,0,1,14,3,0,0,0,1,1,0
1999,5,team_1,Real Madrid,Real Betis,team_2,5,5,10,2,1,0,2,0,0,1,0,1,1,1,0,1,1,20,1,0,0,1,0,0
1999,6,team_1,Barcelona,UD Salamanca,draw,5,8,8,4,1,2,1,0,0,0,0,2,1,1,2,0,3,11,1,1,0,0,0,0
1999,6,team_1,Real Zaragoza,Real Madrid,team_2,3,6,10,10,2,1,2,2,0,1,1,0,0,1,0,0,1,2,2,0,0,0,0,1
1999,6,team_1,Villarreal,R. Sociedad,draw,7,10,8,8,1,1,0,0,0,1,2,1,1,1,1,1,19,17,0,1,1,0,0,0
1999,6,team_1,Real Betis,Celta,team_2,5,5,3,6,0,1,1,0,1,0,1,0,1,2,1,2,14,10,1,1,0,0,0,0
1999,6,team_1,Atlético,Tenerife,team_1,6,7,8,6,2,0,0,1,0,1,2,1,0,2,1,0,6,18,0,0,0,1,1,0
1999,6,team_1,Athletic,Valencia,team_1,8,7,7,4,1,2,1,0,1,1,2,2,0,0,0,0,13,12,0,0,0,0,2,2
1999,6,team_1,Deportivo,Real Oviedo,team_1,5,5,3,7,2,2,0,0,0,1,2,0,0,0,1,2,9,5,0,1,0,0,1,0
1999,6,team_1,Real Valladolid,Espanyol,team_1,3,6,3,4,1,1,0,0,1,0,1,2,0,2,2,0,16,15,0,0,0,1,1,0
1999,6,team_1,Racing,CF Extremadura,team_1,5,5,3,1,1,0,1,0,0,2,2,1,1,1,0,1,7,20,1,0,0,0,0,1
1999,6,team_1,Mallorca,Alavés,team_1,1,3,4,3,1,1,1,1,0,1,0,1,1,1,2,0,4,8,0,0,2,0,0,1
1999,7,team_1,Celta,Real Zaragoza,team_1,5,7,9,13,1,2,1,2,0,1,0,1,2,0,2,0,7,3,2,0,0,0,0,1
1999,7,team_1,Valencia,Real Betis,team_1,9,8,4,3,2,0,0,1,1,2,3,1,0,1,0,1,14,19,0,0,0,0,3,1
1999,7,team_1,Alavés,CF Extremadura,team_2,5,8,4,2,1,0,1,0,1,2,2,2,1,1,0,1,13,20,0,0,0,0,2,2
1999,7,team_1,UD Salamanca,Athletic,team_1,9,8,5,9,2,2,0,1,0,1,2,2,1,0,1,0,12,9,0,1,1,0,0,0
1999,7,team_1,Espanyol,Barcelona,team_2,8,6,5,9,1,1,0,1,0,0,3,0,2,2,0,2,17,5,0,0,0,1,1,0
1999,7,team_1,R. Sociedad,Real Valladolid,team_1,11,4,9,5,1,2,0,0,1,1,1,1,1,0,2,2,16,10,0,1,1,0,0,0
1999,7,team_1,Tenerife,Deportivo,draw,9,5,6,7,0,3,1,0,1,0,2,2,2,0,0,1,18,6,0,1,0,0,1,0
1999,7,team_1,Mallorca,Atlético,team_1,2,6,6,10,2,3,1,0,0,0,0,2,1,0,2,1,2,4,1,1,0,0,0,0
1999,7,team_1,Real Oviedo,Villarreal,draw,9,8,7,9,2,1,0,0,1,0,1,2,0,2,2,1,11,15,0,0,0,2,1,0
1999,7,team_1,Real Madrid,Racing,draw,9,6,14,6,1,2,3,1,1,0,0,2,1,1,0,0,1,8,1,2,0,0,0,0
1999,8,team_1,Athletic,Espanyol,draw,10,10,10,6,2,1,1,0,1,1,3,3,0,2,0,0,13,19,0,0,0,0,1,2
1999,8,team_1,CF Extremadura,Real Madrid,team_2,8,11,3,16,0,1,1,3,2,1,2,0,1,2,1,0,18,2,1,0,0,1,0,0
1999,8,team_1,Racing,Celta,draw,8,5,8,11,2,2,1,1,0,0,2,0,1,2,1,2,6,3,0,3,1,0,0,0
1999,8,team_1,Real Betis,UD Salamanca,team_1,13,10,4,7,0,3,1,0,2,0,2,2,1,1,1,1,20,8,0,1,0,0,2,0
1999,8,team_1,Barcelona,R. Sociedad,team_1,7,11,11,10,1,2,2,0,0,1,0,1,2,1,2,2,4,12,1,1,0,0,0,0
1999,8,team_1,Atlético,Alavés,team_1,10,6,10,4,3,1,0,1,0,2,3,2,0,1,1,0,9,16,0,0,0,0,1,3
1999,8,team_1,Real Zaragoza,Valencia,team_2,9,10,13,9,2,3,2,0,1,1,2,3,0,0,0,0,5,10,0,1,0,0,2,0
1999,8,team_1,Real Valladolid,Real Oviedo,team_1,5,9,5,7,2,2,0,0,1,1,2,1,0,1,2,2,14,11,0,0,0,1,1,0
1999,8,team_1,Villarreal,Tenerife,team_2,8,10,9,7,1,0,0,1,0,1,2,2,2,3,2,0,15,17,0,0,3,1,0,0
1999,8,team_1,Deportivo,Mallorca,draw,6,2,8,10,3,3,0,1,0,0,2,0,0,1,2,2,7,1,0,2,1,0,0,0
1999,9,team_1,Espanyol,Real Betis,team_1,12,13,8,5,1,1,0,1,1,2,3,2,2,1,1,1,19,16,0,1,1,0,0,0
1999,9,team_1,UD Salamanca,Real Zaragoza,team_2,11,13,7,14,3,2,0,2,0,2,3,2,1,0,1,0,11,7,0,0,0,0,1,3
1999,9,team_1,Alavés,Real Madrid,draw,9,12,4,21,1,1,1,4,2,1,3,0,1,2,0,0,18,1,0,1,0,0,4,0
1999,9,team_1,Tenerife,Real Valladolid,draw,12,6,12,7,0,3,2,0,1,1,2,2,3,0,0,2,14,10,1,1,0,0,0,0
